DALLAS TOP KEYWORDS (2000 JOBS),COUNT
java,1796
sql,1213
aws,1004
javascript,776
api,652
angular,585
salesforce,569
.net,564
apis,560
python,542
rest,532
react,523
devops,433
c#,362
git,362
css,361
html,320
power,287
docker,274
bi,199
jquery,192
html5,188
js,184
shell,171
apex,160
node.js,157
c++,149
mysql,138
mongodb,129
c,125
css3,116
nodejs,115
php,115
ruby,103
angularjs,83
swift,81
kotlin,81
node,78
reactjs,75
ssis,61
ssrs,53
r,52
react.js,51
powershell,51
scala,49
assembly,46
bash,42
powerbi,33
objective-c,24
rust,13
vba,11
vhdl,9
verilog,8
lua,2
postgressql,2
fortran,1
