JACKSONVILLE TOP 50 WORDS (214 JOBS),COUNT
experience,1168
development,721
work,596
business,586
team,481
skills,432
design,409
technical,366
knowledge,364
software,360
other,339
requirements,339
more,338
required,336
ability,335
applications,330
years,325
data,293
developer,292
application,289
solutions,286
support,281
information,280
services,277
job,270
must,262
systems,254
management,238
system,231
using,229
status,228
new,226
project,224
working,223
technology,222
including,214
employer,202
strong,201
responsibilities,201
preferred,199
opportunity,198
technologies,197
testing,197
may,197
insurance,196
tools,192
financial,190
degree,187
such,185
provide,183
