SAN JOSE TOP 50 WORDS (1871 JOBS),COUNT
experience,10209
work,5435
team,5074
development,4709
software,4074
design,3615
data,3096
product,3039
skills,2975
business,2971
years,2621
technical,2605
developer,2583
engineering,2503
other,2424
working,2409
status,2301
new,2285
opportunity,2213
platform,2166
solutions,2157
management,2096
teams,2094
technology,2074
including,2034
more,2011
ability,2000
job,1997
about,1988
information,1951
knowledge,1947
strong,1944
cloud,1916
build,1888
disability,1886
systems,1883
requirements,1857
company,1850
services,1849
employment,1813
support,1752
environment,1733
world,1672
building,1665
customers,1652
applications,1646
technologies,1636
help,1592
equal,1592
tools,1574
