FLORIDA TOP KEYWORDS (2000 JOBS),COUNT
sql,1384
java,1127
javascript,827
.net,770
aws,544
c#,527
apis,495
power,472
angular,457
salesforce,453
python,452
git,430
html,417
css,414
rest,398
react,384
api,380
devops,379
apex,240
docker,228
bi,224
html5,192
jquery,182
mysql,169
c++,155
php,150
c,143
mongodb,127
js,124
shell,111
ruby,110
node.js,110
ssrs,106
ssis,101
nodejs,98
css3,97
angularjs,78
r,74
reactjs,73
powershell,67
powerbi,66
scala,58
node,56
swift,54
kotlin,49
assembly,44
react.js,42
bash,37
vba,24
rust,11
objective-c,9
vhdl,9
asm,4
fortran,2
lua,2
postgressql,2
